mode,epoch,n_valid,min,max,mean,median
1,9,10,0,95,15.764770642201835,14.0
1,9,11,0,90,19.2197133585722,17.0
1,9,12,0,105,23.5979297194225,22.0
1,9,13,0,126,27.905806451612904,26.0
1,9,14,0,95,34.02876712328767,33.0
0,10,1,0,5,0.6170212765957447,0.0
0,10,2,0,32,0.989929891650733,0.0
0,10,3,0,60,1.8207129371024857,1.0
0,10,4,0,54,3.2026585996535535,2.0
0,10,5,0,62,5.088527522738049,4.0
0,10,6,0,77,7.520538916112076,6.0
0,10,7,0,85,9.535706510457539,8.0
0,10,8,0,93,10.320129922410006,8.0
0,10,9,0,99,12.141599973235314,10.0
0,10,10,0,122,14.71924920384957,13.0
0,10,11,0,139,17.884479199183364,16.0
0,10,12,0,153,21.667359521975715,19.0
0,10,13,0,148,25.661160204107357,23.0
0,10,14,0,165,30.656614444041363,28.0
1,10,1,nan,nan,nan,nan
1,10,2,0,4,1.6,1.5
1,10,3,0,10,1.669291338582677,1.0
1,10,4,0,16,2.575,2.0
1,10,5,0,37,4.940677966101695,4.0
1,10,6,0,37,6.430672268907563,5.0
1,10,7,0,38,8.014834794335806,6.0
1,10,8,0,45,8.665696263949538,7.0
1,10,9,0,59,10.159175039661555,8.0
1,10,10,0,67,12.431009174311926,11.0
1,10,11,0,72,15.381557598702,14.0
1,10,12,0,97,19.07954235903024,17.0
1,10,13,0,101,22.79509677419355,21.0
1,10,14,0,97,27.59041095890411,26.0
0,11,1,0,3,0.5106382978723404,0.0
0,11,2,0,38,0.8504780114722753,0.0
0,11,3,0,40,1.7025310398232014,1.0
0,11,4,0,55,3.0441060176235784,2.0
0,11,5,0,59,4.848499935342041,4.0
0,11,6,0,74,7.188166461720354,6.0
0,11,7,0,83,9.134867072040828,8.0
0,11,8,0,98,9.884331789814617,8.0
0,11,9,0,100,11.63118936612042,10.0
0,11,10,0,123,14.156488366652047,12.0
0,11,11,0,123,17.25371586535588,15.0
0,11,12,0,150,20.991286872961542,19.0
0,11,13,0,160,24.944698954254406,23.0
0,11,14,0,145,29.84374973635589,28.0
1,11,1,nan,nan,nan,nan
1,11,2,0,5,1.8,1.0
1,11,3,0,7,1.1968503937007875,0.0
1,11,4,0,28,2.76875,2.0
1,11,5,0,34,5.1059322033898304,4.0
1,11,6,0,40,7.214285714285714,6.0
1,11,7,0,50,10.100472016183412,9.0
1,11,8,0,50,11.02037845705968,10.0
1,11,9,0,61,13.289793759915389,12.0
1,11,10,0,78,16.84605504587156,15.0
1,11,11,0,89,20.512574364521363,19.0
1,11,12,0,111,24.95832198311087,23.0
1,11,13,0,97,29.571354838709677,28.0
1,11,14,0,94,35.33561643835616,35.0
0,12,1,0,4,0.3617021276595745,0.0
0,12,2,0,34,0.7558954748247291,0.0
0,12,3,0,35,1.5928497472440466,1.0
0,12,4,0,48,2.8305456531016997,2.0
0,12,5,0,61,4.465392904866589,3.0
0,12,6,0,75,6.6554440537762645,5.0
0,12,7,0,83,8.433173386055602,7.0
0,12,8,0,90,9.063927438518038,7.0
0,12,9,0,101,10.641419596885441,9.0
0,12,10,0,116,12.937142572995064,11.0
0,12,11,0,130,15.802577409441275,14.0
0,12,12,0,133,19.33569653020879,17.0
0,12,13,0,142,23.134246645127135,21.0
0,12,14,0,147,27.95254546630558,26.0
1,12,1,nan,nan,nan,nan
1,12,2,0,0,0.0,0.0
1,12,3,0,9,0.5118110236220472,0.0
1,12,4,0,10,1.01875,0.0
1,12,5,0,21,2.167372881355932,1.0
1,12,6,0,24,3.0315126050420167,2.0
1,12,7,0,30,3.9008766014834793,3.0
1,12,8,0,42,4.285783600194081,3.0
1,12,9,0,58,4.97567424643046,4.0
1,12,10,0,56,6.497981651376147,5.0
1,12,11,0,66,8.538399134667388,6.0
1,12,12,0,79,11.470171615363661,9.0
1,12,13,0,78,15.164645161290322,12.0
1,12,14,0,80,21.382191780821916,18.0
0,13,1,0,4,0.7021276595744681,0.0
0,13,2,0,32,0.7088591459528362,0.0
0,13,3,0,36,1.5332150035237921,1.0
0,13,4,0,55,2.76942171064193,2.0
0,13,5,0,54,4.348174490279753,3.0
0,13,6,0,68,6.482869989886569,5.0
0,13,7,0,77,8.225424402444396,7.0
0,13,8,0,99,8.860919532297727,7.0
0,13,9,0,104,10.422144976940096,8.0
0,13,10,0,120,12.737778527441879,11.0
0,13,11,0,136,15.69665661217475,13.0
0,13,12,0,141,19.350874885651763,17.0
0,13,13,0,153,23.31289231215233,21.0
0,13,14,0,142,28.37253826706375,26.0
1,13,1,nan,nan,nan,nan
1,13,2,0,24,2.8,0.0
1,13,3,0,29,1.4881889763779528,0.0
1,13,4,0,31,3.8125,2.0
1,13,5,0,41,6.213983050847458,4.0
1,13,6,0,46,9.045168067226891,7.0
1,13,7,0,51,12.124072825354013,11.0
1,13,8,0,57,12.473556525958273,11.0
1,13,9,0,69,14.579851930195664,13.0
1,13,10,0,71,17.77651376146789,16.0
1,13,11,0,82,21.363574905354245,20.0
1,13,12,0,91,25.379460637428494,24.0
1,13,13,0,91,29.248,28.0
1,13,14,2,89,33.868493150684934,32.0
0,14,1,0,14,0.7446808510638298,0.0
0,14,2,0,31,0.5594646271510516,0.0
0,14,3,0,36,1.420740779410613,1.0
0,14,4,0,45,2.573921120678834,2.0
0,14,5,0,53,4.066940385361438,3.0
0,14,6,0,73,6.064377859207033,5.0
0,14,7,0,86,7.689045151458385,6.0
0,14,8,0,96,8.239122563667271,6.0
0,14,9,0,94,9.672269009994483,8.0
0,14,10,0,112,11.824241072418745,10.0
0,14,11,0,125,14.652218355773696,12.0
0,14,12,0,139,18.2138784697217,16.0
0,14,13,0,140,22.145345350234443,20.0
0,14,14,0,142,27.24556866979946,25.0
1,14,1,nan,nan,nan,nan
1,14,2,0,3,0.9,0.5
1,14,3,0,7,1.1181102362204725,1.0
1,14,4,0,14,2.303125,2.0
1,14,5,0,25,3.8728813559322033,3.0
1,14,6,0,37,5.891806722689076,5.0
1,14,7,0,46,7.645987862440998,7.0
1,14,8,0,50,8.173216885007278,7.0
1,14,9,0,51,9.478847170809095,8.0
1,14,10,0,62,11.657981651376147,10.0
1,14,11,0,74,14.659951325040563,13.0
1,14,12,0,76,18.483383274312178,17.0
1,14,13,0,90,21.972645161290323,20.0
1,14,14,0,80,27.343835616438355,26.0
0,15,1,0,3,0.3404255319148936,0.0
0,15,2,0,32,0.5747609942638623,0.0
0,15,3,0,35,1.371868827925835,1.0
0,15,4,0,54,2.546199131373484,2.0
0,15,5,0,66,4.049506444243287,3.0
0,15,6,0,70,6.098900499080316,5.0
0,15,7,0,70,7.762747895075261,6.0
0,15,8,0,92,8.34170007890118,7.0
0,15,9,0,102,9.808096680686141,8.0
0,15,10,0,111,11.981720736686883,10.0
0,15,11,0,129,14.807762376545183,12.0
0,15,12,0,147,18.353385680959384,16.0
0,15,13,0,144,22.199900110078485,20.0
0,15,14,0,145,27.102400778418023,25.0
1,15,1,nan,nan,nan,nan
1,15,2,0,8,2.1,0.0
1,15,3,0,12,1.921259842519685,1.0
1,15,4,0,15,2.975,2.0
1,15,5,0,31,5.487288135593221,4.0
1,15,6,0,39,6.6838235294117645,5.0
1,15,7,0,39,8.913014160485503,7.0
1,15,8,0,62,8.92479378942261,7.0
1,15,9,0,61,10.302485457429931,9.0
1,15,10,0,75,12.770642201834862,11.0
1,15,11,0,80,15.784613304488913,14.0
1,15,12,0,104,20.15472623263416,18.0
1,15,13,0,117,24.299870967741935,22.0
1,15,14,0,98,29.676712328767124,28.0
0,16,1,0,3,0.6808510638297872,0.0
0,16,2,0,60,0.5375398342893563,0.0
0,16,3,0,37,1.3410595738386712,0.0
0,16,4,0,44,2.4399775311927296,2.0
0,16,5,0,56,3.8393659209448683,3.0
0,16,6,0,85,5.706439639706443,4.0
0,16,7,0,77,7.254430721015832,6.0
0,16,8,0,90,7.790482631388868,6.0
0,16,9,0,92,9.13585101198783,7.0
0,16,10,0,124,11.166055050466385,9.0
0,16,11,0,122,13.816721002340994,11.0
0,16,12,0,135,17.19231121071495,15.0
0,16,13,0,147,20.924313952657847,18.0
0,16,14,0,158,25.79343940966217,23.0
1,16,1,nan,nan,nan,nan
1,16,2,0,1,0.1,0.0
1,16,3,0,5,0.5905511811023622,0.0
1,16,4,0,17,1.575,1.0
1,16,5,0,26,3.940677966101695,3.0
1,16,6,0,29,5.756302521008403,4.0
1,16,7,0,35,7.429534726904922,6.0
1,16,8,0,46,8.317321688500728,7.0
1,16,9,0,57,10.204918032786885,9.0
1,16,10,0,62,13.169357798165137,11.0
1,16,11,0,84,17.034207679826935,15.0
1,16,12,0,86,21.718332879324436,20.0
1,16,13,0,99,25.83716129032258,24.0
1,16,14,1,108,32.35342465753425,31.0
0,17,1,0,3,0.5106382978723404,0.0
0,17,2,0,33,0.46475462077756535,0.0
0,17,3,0,40,1.2338753882696876,0.0
0,17,4,0,52,2.2693024627821154,1.0
0,17,5,0,55,3.584165265744213,2.0
0,17,6,0,66,5.334832840020351,4.0
0,17,7,0,71,6.760576519013938,5.0
0,17,8,0,100,7.262062334232761,6.0
0,17,9,0,90,8.547823852055602,7.0
0,17,10,0,113,10.52456994282599,8.0
0,17,11,0,135,13.195819354187378,11.0
0,17,12,0,135,16.657759692142573,14.0
0,17,13,0,147,20.531309870930876,18.0
0,17,14,0,142,25.66039826430779,23.0
1,17,1,nan,nan,nan,nan
1,17,2,0,0,0.0,0.0
1,17,3,0,9,0.7637795275590551,0.0
1,17,4,0,9,1.41875,1.0
1,17,5,0,15,2.2584745762711864,2.0
1,17,6,0,22,3.3298319327731094,2.0
1,17,7,0,31,4.387727579231288,3.0
1,17,8,0,41,4.645803008248423,4.0
1,17,9,0,43,5.53437334743522,4.0
1,17,10,0,48,7.173577981651376,6.0
1,17,11,0,73,9.122498647917793,7.0
1,17,12,0,78,12.096840098065922,10.0
1,17,13,0,73,14.374709677419355,12.0
1,17,14,0,65,18.50958904109589,17.0
0,18,1,0,3,0.425531914893617,0.0
0,18,2,0,35,0.449968132568515,0.0
0,18,3,0,37,1.2683302445772755,0.0
0,18,4,0,48,2.2996479050033893,1.0
0,18,5,0,63,3.627701625070046,2.0
0,18,6,0,65,5.398602039576266,4.0
0,18,7,0,75,6.836577845508903,5.0
0,18,8,0,92,7.356526139754003,6.0
0,18,9,0,100,8.66020856226174,7.0
0,18,10,0,120,10.670270480079962,8.0
0,18,11,0,130,13.405451697043935,11.0
0,18,12,0,155,16.939991297021802,14.0
0,18,13,0,144,20.8915784708334,18.0
0,18,14,0,145,26.083869761215773,24.0
1,18,1,nan,nan,nan,nan
1,18,2,0,6,2.0,1.5
1,18,3,0,10,2.748031496062992,3.0
1,18,4,0,13,4.43125,4.0
1,18,5,0,31,6.366525423728813,6.0
1,18,6,0,36,8.734243697478991,8.0
1,18,7,0,49,11.293324342548887,11.0
1,18,8,0,48,12.186802523047065,12.0
1,18,9,0,54,14.716816499206768,14.0
1,18,10,0,74,18.09743119266055,17.0
1,18,11,0,105,22.523120605732828,21.0
1,18,12,0,107,27.469763007354945,26.0
1,18,13,0,116,32.55096774193549,31.0
1,18,14,0,111,38.66712328767123,37.0
0,19,1,0,2,0.46808510638297873,0.0
0,19,2,0,32,0.3964308476736775,0.0
0,19,3,0,33,1.161398379925696,0.0
0,19,4,0,49,2.0971273818190945,1.0
0,19,5,0,58,3.316886503728609,2.0
0,19,6,0,64,4.9481743300109375,4.0
0,19,7,0,104,6.255752785892574,5.0
0,19,8,0,96,6.735972267270272,5.0
0,19,9,0,92,7.936579882863002,6.0
0,19,10,0,117,9.807691303268385,8.0
0,19,11,0,128,12.411359999578425,10.0
0,19,12,0,139,15.7823839765103,13.0
0,19,13,0,160,19.565304480446365,17.0
0,19,14,0,144,24.577739156845045,22.0
1,19,1,nan,nan,nan,nan
1,19,2,0,3,1.0,0.5
